t_id;c_ticker;c_name;industry;mcap_m1;mcap_log;mcap_group;large_cap;mid_cap;small_cap;ebitda_margin;debt_ebitda;cash_assets_ratio;pb_ratio;announced_date;target_public;cash_payment_pct;deal_mcap;cross_border;car_1;car_2;car_1_beta_adjusted;car_2_beta_adjusted
IQTR1875983613;CALVIK;Calviks AB  (OM:CALVIK);Industrials;9,184910175;2,217561939;small;0;0;1;5,7742;100,1180359;28,35810967;93,9977012;2024-03-27 00:00:00;0;74,45;7,022387674;0;-0,560130996;-0,921122729;-0,28479976;-0,462237336
IQTR1875997425;KITW;Kitwave Group plc (AIM:KITW);Consumer Staples;315,1417272;5,753022465;mid;0;1;0;5,3814;180,2055016;0,321109832;123,9771478;2024-03-28 00:00:00;0;100;8,424780886;0;2,455760179;4,065619624;2,00593339;3,315908309
IQTR1876006424;KEYS;Keysight Technologies, Inc. (NYSE:KEYS);Information Technology;27200,19516;10,21097943;large;1;0;0;29,1178;-28,03268385;28,46942301;313,2580348;2024-03-28 00:00:00;0;100;5,601871571;1;2,426114455;4,023552178;2,895302822;4,805532789
IQTR1876109996;SLV;Selvita S.A. (WSE:SLV);Financials;10219,433;9,232046383;large;1;0;0;0;;0;98,32366004;2024-03-27 00:00:00;0;100;0,061353697;0;-0,531683121;-0,890347158;-0,237799076;-0,400540416
IQTR1876549144;OGKB;"Public Joint-Stock Company ""Second Generating Company of the Electric Power Wholesale Market"" (MISX:OGKB)";Utilities;700,1969601;6,551361667;mid;0;1;0;28,9466;0;;;2024-03-28 00:00:00;0;100;22,06093554;0;2,405555865;4,001860752;0,660422738;1,093305541
IQTR1876551804;AKOM;Aerkomm Inc. (OTCPK:AKOM);Communication Services;46,3423728;3,836056722;small;0;0;1;;-211,1501971;4,783975526;52,7507322;2024-03-29 00:00:00;1;;863,1409568;1;-0,855339481;-1,425565802;-0,172102857;-0,286838095
IQTR1876572603;WIIT;Wiit S.p.A. (BIT:WIIT);Information Technology;501,6412848;6,217885292;mid;0;1;0;31,31;524,9374272;4,429152114;146,82782;2024-03-26 00:00:00;0;100;0,16984248;1;-0,365009225;-0,621681383;-0,648308566;-1,09384695
IQTR1876593910;WINE;Purcari Wineries Public Company Limited (BVB:WINE);Consumer Staples;52,57196209;3,962182937;small;0;0;1;1,5932;-327,2725659;15,78877016;20,46984348;2024-03-29 00:00:00;0;100;5,74450692;0;-0,877686625;-1,449810166;-1,391241003;-2,305734129
IQTR1876608398;MANG;Mangold Fondkommission AB (OM:MANG);Financials;113,8073295;4,734506927;small;0;0;1;;;0;114,6686516;2024-03-22 00:00:00;0;;0,491181018;0;-0,113537157;-0,211714977;-0,016591077;-0,050138177
IQTR1876652896;FWON.K;Formula One Group (NasdaqGS:FWON.K);Communication Services;15418,16939;9,643301924;large;1;0;0;20,6703;230,6306306;13,71384046;150,1720989;2024-04-01 00:00:00;0;;21,01805939;1;-0,846641665;-1,403720034;-0,617658732;-1,022081813
IQTR1876659832;VIMAB;Vimab Group AB  (OM:VIMAB);Industrials;20,70691733;3,030467815;small;0;0;1;7,8466;187,6297189;8,937443772;61,48116343;2024-03-26 00:00:00;0;50;13,71522354;0;-0,396845435;-0,645540959;0,297717753;0,512064355
IQTR1876676043;IP;International Paper Company (NYSE:IP);Materials;14188,10697;9,560159355;large;1;0;0;11,5246;226,8348624;4,784832982;60,99525802;2024-03-26 00:00:00;0;;77,89545163;1;-0,387734594;-0,655399379;-0,409224078;-0,691215184
IQTR1876682396;1800;China Communications Construction Company Limited (SEHK:1800);Industrials;7675,365289;8,945771166;large;1;0;0;6,8865;812,972301;7,182530336;3,231111833;2024-03-29 00:00:00;0;100;0,331450023;1;-0,855593912;-1,433917314;-0,317901854;-0,537763884
IQTR1876942175;SPAN;Span d.d. (ZGSE:SPAN);Information Technology;100,5133501;4,610290555;small;0;0;1;2,507;-302,2618753;19,89870405;125,8416342;2024-04-02 00:00:00;0;100;0,803873316;0;-0,874670921;-1,443994515;-0,374930275;-0,611093439
IQTR1877095408;AST;Arctic Stream S.A. (BVB:AST);Energy;6,556564841;1,880466813;small;0;0;1;-57,4362;35,26456409;44,68463811;484,2366943;2024-04-03 00:00:00;0;;32,79156162;0;-0,513333565;-0,885973744;0,318104182;0,499755835
